yr,holiday,workingday,temp,hum,windspeed,cnt,season_summer,season_fall,season_winter,mnth_february,mnth_march,mnth_april,mnth_may,mnth_june,mnth_july,mnth_august,mnth_september,mnth_october,mnth_november,mnth_december,weekday_wednesday,weekday_thursday,weekday_friday,weekday_saturday,weekday_sunday,weekday_monday,weathersit_cloudy,weathersit_light snow/rain
0,0,1,0.3551695960034719,0.8286200514138817,0.2846062011914537,985,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,1,0.3792320499775337,0.7157706940874036,0.46621455443766724,801,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
0,0,1,0.17099980237661433,0.4496380462724936,0.4657403973395252,1349,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,1,0.17553043686730296,0.6071311053984576,0.2842969683013611,1562,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0,1,0.2091201821823453,0.4493131105398458,0.3391425136881939,1600,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,0,0,0.18094825830996367,0.5329161953727506,0.1384817036175919,1606,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0.17119667813281036,0.5127979434447301,0.30167585672456815,1510,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0.13191871872261027,0.5509850899742931,0.5038688126879493,959,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,1,0.09869032764362397,0.4464442159383033,0.7000172964263193,822,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,0,1,0.11426594126672851,0.49657275064267353,0.4141149971148571,1321,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,1,0.13701630554917993,0.7057727506426734,0.20561987485138783,1263,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0,0,1,0.1415469400398686,0.6164987146529564,0.5818429167011118,1162,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,0,0,0.13191871872261027,0.4837192802056555,0.5743656654186715,1406,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0.12677253598153654,0.5530344473007712,0.21472369113571554,1421,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,1,0.21706499117921849,0.512853470437018,0.27948736608412006,1248,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,1,0.2149890733955311,0.4974293059125964,0.34230287382494085,1204,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,1,0,0.14541716851293757,0.5526992287917738,0.3538145835467899,1000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,1,0.19629833704780567,0.8860329048843189,0.2564227155884094,683,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0,0,1,0.290383765674986,0.7627136246786633,0.38329478573562287,1650,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0,0,0.2523705460909819,0.5535557840616967,0.35770473330415553,1927,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
0,0,0,0.1474943323457148,0.4700082262210797,0.6820652963801405,1543,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,1,0.0,0.41131105398457585,0.30836353336097194,981,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,1,0.04659139533324709,0.44886580976863755,0.4622172039450696,986,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,0,1,0.047674959621779235,0.5056442159383033,0.2802439558885467,1416,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,1,0.2047851773987628,0.6344030848329049,0.22141961398252177,1985,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0,0,1,0.19733629593964935,0.8868894601542416,0.559625564324255,506,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,0,0,0.16930019141806116,0.7069408740359897,0.18851929602926418,431,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0.1798641956017956,0.815468380462725,0.20802776828890931,1167,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0.17119667813281036,0.6701686375321337,0.2535159264215384,1098,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,1,0.19611765992977764,0.7425953727506427,0.10635735406320682,1096,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,0,1,0.1516474139621794,0.6208226221079691,0.33974448704757426,1501,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,1,0.1657788566901497,0.8530231362467867,0.06353973116941779,1360,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0,0,1,0.25029338225820474,0.7973439588688946,0.49872317739680744,1526,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0,0,0.1592782185884108,0.45020668380462725,0.5264386905595115,1550,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0.18961577577894886,0.6017655526992288,0.21738515554311297,1708,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0.21706499117921849,0.955441645244216,0.2859111639876447,1005,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,1,0.28248256839625757,0.5844041131105399,0.24616649140033647,1623,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,0,1,0.2648310369894656,0.7592113110539845,0.04744993158737695,1712,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,1,0.2014893775561139,0.5531280205655527,0.7000172964263193,1530,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0,1,0.09426685337466227,0.5087742930591259,0.34313986418079157,1605,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0,0,0.10618531291906189,0.449759383033419,0.41136900905083446,1538,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0.16193728734614718,0.5206827763496145,0.1776198674297985,1746,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,1,0.20356654138889116,0.5595547557840617,0.37309010036256535,1472,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,1,0.320722568914614,0.47032493573264783,0.49166235973969197,1589,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,0,1,0.44343099118470103,0.3864606683804627,0.8153776568516835,1913,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,1,0.2578780830681117,0.3232370179948586,0.5545211600851258,1815,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0,1,0.3228894482818603,0.4354529562982005,0.47291872349487596,2115,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,0,0,0.469389931873512,0.519280205655527,0.42820983224528025,2475,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0.5763433094515564,0.5312771208226221,0.49999515535138855,2927,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,1,0.42370229594513187,0.19323084832904883,1.0,1635,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,1,0.2817150021569109,0.4193583547557841,0.41404902743163746,1812,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,1,0,0.30428842746860385,0.622107969151671,0.5884790545225002,1107,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
